GeneID	Chr	Length	Symbol	type_of_gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
4495	16	396	MT1G	protein-coding	4.69569029929486	7.95935516339112	50.9123527917639	2.49136301970851e-22	2.55020294179386e-18	38.3968996763768
4501	16	404	MT1X	protein-coding	5.31444154093855	7.35755092736915	49.6963510462411	3.99124022504712e-22	2.55020294179386e-18	37.4877769422983
4502	16	419	MT2A	protein-coding	4.13037234037502	9.00348181274611	46.9156335512543	1.22548959513966e-21	4.95318379938092e-18	37.7114954511333
4493	16	506	MT1E	protein-coding	5.19928049498089	8.0914044782325	49.2761110607118	1.55041358459376e-21	4.95318379938092e-18	36.7828471631569
4494	16	441	MT1F	protein-coding	4.53472812828102	5.5680649154556	34.1237718959084	5.91208543945142e-19	1.51101079661499e-15	31.0570595830155
359948	1	4663	IRF2BP2	protein-coding	-1.56282179205645	6.83775576817247	-17.5007325048723	1.91573858439072e-13	4.02260121354252e-10	21.0002634684622
1050	19	2591	CEBPA	protein-coding	-1.87937912313444	5.61345161627479	-17.3688730108984	2.20347511501664e-13	4.02260121354252e-10	20.8063567363789
57181	2	5525	SLC39A10	protein-coding	-2.13023319052964	4.36311821838207	-16.2375338493659	7.61874562788355e-13	1.21699937973405e-09	19.4138638499764
84941	19	2367	HSH2D	protein-coding	-1.64524112985154	5.84762830177297	-15.9580807767688	1.04712549652157e-12	1.41389984891264e-09	19.3135290572267
22918	20	6701	CD93	protein-coding	-1.42759031119137	8.65655395581324	-15.9101016868467	1.1064244846331e-12	1.41389984891264e-09	19.276578220417
3337	19	2233	DNAJB1	protein-coding	-1.59960421921458	5.89927350525409	-15.2946293502563	2.27216367915939e-12	2.6396345141798e-09	18.556302540652
8553	3	3035	BHLHE40	protein-coding	-2.09849100249557	4.4588805165524	-15.0976465849616	2.87563592794841e-12	2.85680000336314e-09	18.1974636509285
23601	7	3511	CLEC5A	protein-coding	1.36369135562739	8.61599092262269	15.0888540457457	2.90620549680889e-12	2.85680000336314e-09	18.3133327501117
3398	2	1364	ID2	protein-coding	-1.46626504956316	6.05156545610517	-14.9708892758185	3.35089580367913e-12	2.89028903010795e-09	18.1762743428086
4066	19	1490	LYL1	protein-coding	-1.69213704592185	5.13750444821067	-14.960672659753	3.39262348005472e-12	2.89028903010795e-09	18.1340618908822
196	7	6247	AHR	protein-coding	1.24996743102439	8.37251679161606	14.894451708608	3.6766185949494e-12	2.93646931405365e-09	18.0787750307567
5784	1	13443	PTPN14	protein-coding	1.89366524354332	4.52544890410405	14.7472777717214	4.40061617493859e-12	3.30796906467884e-09	17.8009512515503
85027	5	2334	SMIM3	protein-coding	-1.70946976663267	4.76581082629903	-14.3755743578635	6.97641122484713e-12	4.95286439124008e-09	17.4083331853421
3937	5	2422	LCP2	protein-coding	-1.39702079514556	6.43959550583281	-14.3282553308828	7.40317042709945e-12	4.97913248023036e-09	17.3910502999343
3659	5	3554	IRF1	protein-coding	-1.7357639833609	4.59875010208913	-14.2874942233286	7.79267936494304e-12	4.97913248023036e-09	17.2844710289836
84159	10	7941	ARID5B	protein-coding	1.95631322378097	4.08711430692439	14.000957670127	1.1213445502165e-11	6.82364857486506e-09	16.829580482841
2752	1	4950	GLUL	protein-coding	-1.2185113713664	7.27359912851812	-13.5966942584657	1.89380714726496e-11	1.10004370613177e-08	16.4431439652569
5778	1	3342	PTPN7	protein-coding	-1.26659466746576	6.79115814179349	-13.3045737762515	2.78784629879414e-11	1.54071232006506e-08	16.0620419790453
5734	5	3416	PTGER4	protein-coding	1.61969499870561	5.09413980817716	13.2767223039531	2.89358288454195e-11	1.54071232006506e-08	16.0378611302112
64115	10	4774	VSIR	protein-coding	-2.34879424603045	4.95816228208825	-15.876432501796	3.3279680300768e-11	1.70112413825406e-08	15.9603465385224
5777	12	2552	PTPN6	protein-coding	-1.27256702504274	6.17220472398396	-13.026392538785	4.05498599131101e-11	1.99302561472936e-08	15.6979843957725
55647	13	1509	RAB20	protein-coding	-2.25421197040578	3.79077324834807	-13.132446726498	5.24169004238733e-11	2.4808724833951e-08	15.3184181638406
2000	X	4272	ELF4	protein-coding	-1.74599581107677	6.23184071300159	-14.8992434878388	5.89968672087274e-11	2.69257487878689e-08	15.4719704802553
1996	1	2463	ELAVL4	protein-coding	1.98692459291556	3.73028226212162	12.6074585925562	7.21737927141354e-11	3.11556120853919e-08	15.0026118247341
283337	12	4256	ZNF740	protein-coding	-1.40340796310884	5.03619814307348	-12.5979141828803	7.31409627170949e-11	3.11556120853919e-08	15.1259299023094
2730	1	3074	GCLM	protein-coding	1.74400273654254	5.08465199547476	13.148582510048	1.17008682357689e-10	4.8233998446739e-08	14.7207156841178
54541	10	1752	DDIT4	protein-coding	-2.9508716628854	2.3877900128645	-12.2133247527214	1.25901679384521e-10	5.02780487767124e-08	13.8191111210733
10371	7	5659	SEMA3A	protein-coding	1.78352685392449	4.05891219939601	12.1309268873472	1.41683937634896e-10	5.32823183119882e-08	14.4264943786219
3312	11	2261	HSPA8	protein-coding	-1.03568870757865	11.4896608767014	-12.1305350602235	1.41763739150763e-10	5.32823183119882e-08	14.3905853181682
1191	8	3269	CLU	protein-coding	2.54195009635437	2.96502594460821	12.0744641702045	1.53681885025582e-10	5.61114516783404e-08	13.9898666310511
3638	7	3081	INSIG1	protein-coding	-1.1242017546273	7.68794121715067	-11.9915951573922	1.73247472632815e-10	6.14980403548538e-08	14.2061587647313
4490	16	380	MT1B	protein-coding	5.86992100837426	-2.18730980241748	11.9325498097343	1.88763862743201e-10	6.51949568106854e-08	9.94766396125861
4791	10	3348	NFKB2	protein-coding	1.37067017031349	4.71988340808382	11.7436372110701	2.48922541775552e-10	8.36497294575264e-08	13.9168308686546
7132	12	2226	TNFRSF1A	protein-coding	-1.08220029100148	6.31185562455422	-11.7265061684589	2.55289103125716e-10	8.36497294575264e-08	13.8471889271437
678	2	3693	ZFP36L2	protein-coding	-1.03804039403441	7.16085350526103	-11.6484159452416	2.86539410586777e-10	9.15421781972107e-08	13.7062756261417
23223	10	4426	RRP12	protein-coding	-1.14425975807562	5.98743109321328	-11.5452227905403	3.34080947486103e-10	1.04127327510364e-07	13.587703560616
9592	19	2050	IER2	protein-coding	-1.347269381103	5.27007599492901	-11.5218189305442	3.45966763465241e-10	1.05264506436246e-07	13.5791412409632
6515	12	3938	SLC2A3	protein-coding	1.43858697103126	4.72588857083992	11.4282342071366	3.9808768572368e-10	1.18306105485184e-07	13.4534881254957
3678	12	4250	ITGA5	protein-coding	-0.984750640404534	7.84037371363935	-11.3705071303081	4.34269523832099e-10	1.26125687387509e-07	13.2728675445145
114548	1	4499	NLRP3	protein-coding	-1.89415803952188	3.25981535906446	-11.190525519633	5.70795815803509e-10	1.62093327336734e-07	12.9857692376858
7048	3	4704	TGFBR2	protein-coding	1.14946528462927	5.8019063234986	11.1220273088585	6.33924867595496e-10	1.76107084413105e-07	12.952552069705
90007	19	3793	MIDN	protein-coding	-1.32319836526396	4.61438257056779	-11.0840827229877	6.7199120751348e-10	1.82710120017335e-07	12.9358329627234
146722	17	1759	CD300LF	protein-coding	-1.61067311889879	4.1665597429973	-11.0080499331553	7.55621445351979e-10	2.0116846771152e-07	12.8197343064497
54868	17	4749	TMEM104	protein-coding	-1.16015149430433	5.30822752705643	-10.7114178890323	1.20099757731434e-09	3.13215266132653e-07	12.3310191153498
91663	19	3463	MYADM	protein-coding	-1.10852912696396	5.36116766805146	-10.6569367679606	1.30900525753189e-09	3.29772248262045e-07	12.2416897584661
54858	19	7084	PGPEP1	protein-coding	-1.31310156413892	4.7526755042512	-10.6467547260731	1.33028982358979e-09	3.29772248262045e-07	12.2539873671078
1445	15	2740	CSK	protein-coding	-1.06054096768886	7.19477059149877	-10.7604087460428	1.38238192007825e-09	3.29772248262045e-07	12.1307876188213
2495	11	1229	FTH1	protein-coding	1.01108113148602	8.8437458525736	10.7340304895631	1.39037367557748e-09	3.29772248262045e-07	12.0985717089155
