chr3	5019766	5021233	1468	*	10.35	10.87	9.55	-1.32	2.86e-10	2.28e-06	2063	1672.79	779.31	716.34	promoter	BHLHE40	8553
chrX	153191676	153193032	1357	*	9.4	9.95	8.5	-1.45	1.99e-08	7.94e-05	1126	856.29	392.51	333.5	promoter	NA	NA
chr17	56405425	56407412	1988	*	10.54	11	9.87	-1.13	5.91e-08	0.000157	1805	2294.58	881.32	992.28	promoter	TSPOAP1	9256
chr3	13455473	13456405	933	*	9.39	9.92	8.54	-1.38	2.77e-07	0.000552	1049	888.27	439.84	306.09	intron	NA	NA
chr2	8824818	8826206	1389	*	9.02	9.59	8.08	-1.51	5.07e-07	0.000809	928	612.55	306.01	234.82	intergenic	NA	NA
chr7	2568726	2570569	1844	*	9.93	10.44	9.13	-1.3	1.51e-06	0.002	1657	1113.53	667.52	456.85	intergenic	NA	NA
chr15	70755148	70756134	987	*	9.01	9.62	7.93	-1.69	2.29e-06	0.00261	1006	569.91	319.07	169.03	intergenic	NA	NA
chr8	103818475	103820011	1537	*	10.34	10.79	9.68	-1.11	2.98e-06	0.00297	2034	1511.48	947.42	690.76	promoter	NA	NA
chr4	3956824	3958036	1213	*	10.1	10.49	9.57	-0.91	1.35e-05	0.0119	1459	1408.44	816.03	707.2	promoter	NA	NA
chr1	2165611	2166538	928	*	8.42	8.95	7.56	-1.4	1.5e-05	0.0119	580	410.03	213.8	162.64	intron	NA	NA
chr16	85645290	85645977	688	*	8.1	8.64	7.22	-1.42	2.82e-05	0.0204	472	324.75	169.74	127.92	promoter	NA	NA
chr3	170074384	170075728	1345	*	9.6	10.03	8.99	-1.04	3.06e-05	0.0204	1098	989.89	586.73	432.18	promoter	SKIL	6498
chr2	8674848	8676460	1613	*	9.08	9.61	8.23	-1.38	4e-05	0.023	981	579.15	375.38	225.68	intergenic	NA	NA
chrX	153596798	153598120	1323	*	9.63	10.07	9.01	-1.06	4.05e-05	0.023	1220	924.51	587.54	443.15	intron	NA	NA
chr16	67595646	67597266	1621	*	10.71	11.08	10.23	-0.85	4.33e-05	0.023	2319	2003.23	1352.17	1045.27	promoter	CTCF	10664
chr8	130603683	130604869	1187	*	8.99	9.47	8.26	-1.21	4.98e-05	0.0248	800	621.79	368.85	245.79	intergenic	NA	NA
chr5	176873236	176874516	1281	*	8.49	8.98	7.74	-1.24	5.34e-05	0.025	525	484.64	250.52	178.17	promoter	PRR7	80758
chr11	406665	407714	1050	*	8.2	8.72	7.38	-1.34	5.7e-05	0.0252	511	333.99	180.34	152.59	intron	NA	NA
chr12	57915868	57917089	1222	*	9.02	9.45	8.38	-1.07	7.73e-05	0.0324	771	632.45	364.77	302.44	promoter	DDIT3	1649
chr11	62323643	62324574	932	*	9.25	9.7	8.58	-1.12	8.74e-05	0.0348	961	707.77	452.9	312.49	intergenic	NA	NA
chr6	86352549	86354002	1454	*	11.42	11.73	11.02	-0.7	9.53e-05	0.0362	3588	3183.56	2155.96	2011.06	promoter	SYNCRIP	10492
chr10	73508389	73509131	743	*	9.03	9.49	8.37	-1.12	0.000111	0.0402	820	613.26	381.09	278.68	3UTR	NA	NA
chr6	68598528	68599514	987	*	9.83	10.19	9.34	-0.85	0.000118	0.0402	1229	1110.69	688.73	605.78	promoter	NA	NA
chr13	111188429	111189301	873	*	8.72	9.19	8.03	-1.16	0.000125	0.0402	670	496.72	296.22	225.68	intron	NA	NA
chr2	8655234	8656428	1195	*	8.44	8.94	7.68	-1.26	0.000126	0.0402	586	396.52	237.47	171.78	intergenic	NA	NA
chr10	74094602	74095554	953	*	8.38	8.89	7.6	-1.29	0.000133	0.0408	582	365.26	220.33	167.21	3UTR	NA	NA
chrX	129216316	129217190	875	*	8.48	9.01	7.65	-1.36	0.000148	0.0438	597	430.63	262.76	138.88	intron	NA	NA
chr12	53573845	53575091	1247	*	9.26	9.7	8.62	-1.08	0.000158	0.0451	935	728.38	473.3	313.4	promoter	CSAD	51380
chr6	35337813	35338939	1127	*	9.37	9.78	8.78	-1	0.000168	0.0462	999	761.78	496.15	382.84	intron	NA	NA
chr6	160113676	160115127	1452	*	9.85	10.21	9.37	-0.84	0.000213	0.0549	1246	1124.9	728.72	597.56	promoter	SOD2	6648
chr17	80199270	80200130	861	*	8.19	8.69	7.42	-1.27	0.000224	0.0549	483	341.1	205.64	137.06	intergenic	NA	NA
chr18	74813300	74814258	959	*	8.57	9	7.96	-1.04	0.000235	0.0549	517	505.96	261.95	235.73	intron	NA	NA
chr17	72776009	72776726	718	*	8.86	9.33	8.15	-1.18	0.000241	0.0549	753	535.09	350.89	217.46	intron	NA	NA
chr12	57913956	57914834	879	*	9.54	9.94	8.99	-0.95	0.000245	0.0549	1108	849.9	574.49	439.49	promoter	DDIT3	1649
chr1	169573849	169574611	763	*	8.55	8.99	7.93	-1.06	0.000247	0.0549	554	461.9	248.89	239.39	intron	NA	NA
chr10	43950486	43951645	1160	*	9.36	9.74	8.84	-0.9	0.000248	0.0549	919	788.07	481.46	434.01	intron	NA	NA
chr8	128754182	128755712	1531	*	8.32	8.81	7.57	-1.23	0.000261	0.0562	394	500.98	143.62	236.65	intergenic	NA	NA
chr17	72732469	72733918	1450	*	8.76	9.26	7.99	-1.27	0.000282	0.0562	763	466.87	323.15	185.48	promoter	NA	NA
chr3	167812535	167814391	1857	*	10.36	10.67	9.97	-0.71	0.000282	0.0562	1649	1615.94	1011.07	991.37	promoter	GOLIM4	27333
chr7	47330902	47331701	800	*	9.28	9.66	8.76	-0.9	0.000284	0.0562	741	877.61	427.6	440.4	intron	NA	NA
chr3	50648865	50649865	1001	*	9.98	10.35	9.47	-0.89	0.000289	0.0562	1500	1115.67	800.53	614.01	promoter	CISH	1154
chr17	55945186	55946523	1338	*	9.19	9.66	8.48	-1.18	0.000296	0.0562	1035	584.13	430.87	282.33	intron	NA	NA
chr11	72852887	72854322	1436	*	10.08	10.5	9.49	-1.01	0.000322	0.0597	1696	1204.49	912.33	529.03	promoter	FCHSD2	9873
chr10	43470442	43471428	987	*	9.36	9.76	8.81	-0.95	0.000352	0.0638	948	782.39	518.18	380.1	intergenic	NA	NA
chr1	45272949	45273737	789	*	8.9	9.36	8.21	-1.15	0.000378	0.0666	736	579.15	378.64	214.72	promoter	TCTEX1D4	343521
chr18	74766662	74767489	828	*	9.22	9.62	8.67	-0.95	0.000384	0.0666	841	734.78	470.85	343.55	intron	NA	NA
chr8	130678146	130679193	1048	*	8.74	9.15	8.15	-1.01	0.00041	0.0696	590	548.6	319.07	247.61	intergenic	NA	NA
chr8	134309186	134310381	1196	*	10.09	10.45	9.62	-0.83	0.000437	0.0726	1583	1215.15	887.03	686.19	promoter	NDRG1	10397
chr13	80742170	80743315	1146	*	8.69	9.09	8.13	-0.96	0.000478	0.0778	557	533.67	288.88	271.37	intergenic	NA	NA
chr19	45393599	45394629	1031	*	10.21	10.57	9.74	-0.83	0.000508	0.0783	1639	1392.81	1012.7	695.33	promoter	TOMM40	10452
